time,temperature_C,ghi_W_m2,dni_W_m2,dhi_W_m2,wind_speed_m_s,relative_humidity_percent
2020-01-01 00:00:00,-1.77,0.0,-0.0,0.0,2.87,88.15
2020-01-01 01:00:00,-2.63,0.0,-0.0,0.0,2.78,88.43
2020-01-01 02:00:00,-3.49,0.0,-0.0,0.0,2.68,88.71
2020-01-01 03:00:00,-4.35,0.0,-0.0,0.0,2.59,88.99
2020-01-01 04:00:00,-5.22,0.0,-0.0,0.0,2.5,89.28
2020-01-01 05:00:00,-6.08,0.0,-0.0,0.0,2.41,89.56
2020-01-01 06:00:00,-6.94,0.0,-0.0,0.0,2.31,89.84
2020-01-01 07:00:00,-7.8,0.0,-0.0,0.0,2.22,90.12
2020-01-01 08:00:00,-5.5,43.0,36.5,39.0,3.59,88.05
2020-01-01 09:00:00,-5.19,45.0,0.0,45.0,3.24,81.25
2020-01-01 10:00:00,-4.84,63.0,0.0,63.0,3.03,84.6
2020-01-01 11:00:00,-4.41,57.0,0.0,57.0,2.97,81.3
2020-01-01 12:00:00,-3.98,56.0,0.0,56.0,3.24,78.15
2020-01-01 13:00:00,-3.74,42.0,0.0,42.0,3.1,78.15
2020-01-01 14:00:00,-3.65,19.0,0.0,19.0,2.76,78.2
2020-01-01 15:00:00,-3.63,0.0,-0.0,0.0,3.03,78.2
2020-01-01 16:00:00,-3.66,0.0,-0.0,0.0,2.62,78.2
2020-01-01 17:00:00,-3.72,0.0,-0.0,0.0,2.14,84.7
2020-01-01 18:00:00,-3.7,0.0,-0.0,0.0,2.14,84.7
2020-01-01 19:00:00,-3.78,0.0,-0.0,0.0,2.0,84.7
2020-01-01 20:00:00,-3.63,0.0,-0.0,0.0,2.21,84.8
2020-01-01 21:00:00,-3.62,0.0,-0.0,0.0,1.66,84.8
2020-01-01 22:00:00,-3.6,0.0,-0.0,0.0,1.59,84.8
2020-01-01 23:00:00,-3.57,0.0,-0.0,0.0,1.66,84.8
2020-01-02 00:00:00,-3.55,0.0,-0.0,0.0,1.59,88.25
2020-01-02 01:00:00,-3.02,0.0,-0.0,0.0,1.38,88.25
2020-01-02 02:00:00,-2.98,0.0,-0.0,0.0,1.31,88.25
2020-01-02 03:00:00,-2.98,0.0,-0.0,0.0,1.24,91.85
2020-01-02 04:00:00,-3.27,0.0,-0.0,0.0,1.1,95.55
2020-01-02 05:00:00,-3.09,0.0,-0.0,0.0,1.45,91.85
2020-01-02 06:00:00,-3.08,0.0,-0.0,0.0,1.31,91.85
2020-01-02 07:00:00,-3.09,0.0,-0.0,0.0,1.17,91.85
2020-01-02 08:00:00,-3.18,0.0,0.0,0.0,1.24,91.85
2020-01-02 09:00:00,-2.92,0.0,0.0,0.0,1.59,91.85
2020-01-02 10:00:00,-2.45,81.0,0.0,81.0,2.0,88.25
2020-01-02 11:00:00,-1.96,0.0,0.0,0.0,2.41,81.55
2020-01-02 12:00:00,-1.7,68.0,0.0,68.0,2.55,81.55
2020-01-02 13:00:00,-1.68,0.0,0.0,0.0,2.62,81.55
2020-01-02 14:00:00,-1.72,21.0,0.0,21.0,2.55,84.85
2020-01-02 15:00:00,-2.02,0.0,-0.0,0.0,2.48,88.3
2020-01-02 16:00:00,-2.52,0.0,-0.0,0.0,2.07,95.55
2020-01-02 17:00:00,-2.97,0.0,-0.0,0.0,2.14,95.55
2020-01-02 18:00:00,-3.41,0.0,-0.0,0.0,2.07,95.55
2020-01-02 19:00:00,-3.9,0.0,-0.0,0.0,1.66,95.5
2020-01-02 20:00:00,-4.56,0.0,-0.0,0.0,1.31,91.75
2020-01-02 21:00:00,-5.05,0.0,-0.0,0.0,1.17,95.5
2020-01-02 22:00:00,-5.45,0.0,-0.0,0.0,1.17,95.45
2020-01-02 23:00:00,-5.83,0.0,-0.0,0.0,1.17,95.45
2020-01-03 00:00:00,-6.38,0.0,-0.0,0.0,1.31,95.45
2020-01-03 01:00:00,-7.02,0.0,-0.0,0.0,1.45,95.45
2020-01-03 02:00:00,-7.5,0.0,-0.0,0.0,1.59,95.4
2020-01-03 03:00:00,-7.62,0.0,-0.0,0.0,1.72,91.6
2020-01-03 04:00:00,-7.48,0.0,-0.0,0.0,1.79,91.6
2020-01-03 05:00:00,-7.32,0.0,-0.0,0.0,1.93,91.6
2020-01-03 06:00:00,-7.03,0.0,-0.0,0.0,1.93,91.6
2020-01-03 07:00:00,-6.78,0.0,-0.0,0.0,2.14,87.95
