Zeit,P_Netz/MW,Q_Netz/MW,Strompr.€/MWh,Gaspr.€/MWh
2020-01-01 00:00:00,58.39,127.059,7.461,32.459
2020-01-01 00:15:00,58.36,122.156,7.461,32.459
2020-01-01 00:30:00,58.11,124.412,7.461,32.459
2020-01-01 00:45:00,57.71,127.713,7.461,32.459
2020-01-01 01:00:00,55.53,130.69899999999998,2.65,32.459
2020-01-01 01:15:00,56.24,132.166,2.65,32.459
2020-01-01 01:30:00,55.17,132.394,2.65,32.459
2020-01-01 01:45:00,54.5,132.431,2.65,32.459
2020-01-01 02:00:00,52.95,134.403,-2.949,32.459
2020-01-01 02:15:00,51.75,134.755,-2.949,32.459
2020-01-01 02:30:00,50.7,135.631,-2.949,32.459
2020-01-01 02:45:00,50.33,138.345,-2.949,32.459
2020-01-01 03:00:00,47.11,141.071,-3.2680000000000002,32.459
2020-01-01 03:15:00,49.35,141.319,-3.2680000000000002,32.459
2020-01-01 03:30:00,48.33,143.024,-3.2680000000000002,32.459
2020-01-01 03:45:00,48.73,144.697,-3.2680000000000002,32.459
2020-01-01 04:00:00,46.6,152.569,-3.2680000000000002,32.459
2020-01-01 04:15:00,47.33,160.688,-3.2680000000000002,32.459
2020-01-01 04:30:00,47.5,161.673,-3.2680000000000002,32.459
2020-01-01 04:45:00,48.62,163.165,-3.2680000000000002,32.459
2020-01-01 05:00:00,49.18,176.398,-3.2680000000000002,32.459
2020-01-01 05:15:00,50.0,184.233,-3.2680000000000002,32.459
2020-01-01 05:30:00,50.1,181.12,-3.2680000000000002,32.459
2020-01-01 05:45:00,50.36,179.642,-3.2680000000000002,32.459
2020-01-01 06:00:00,50.32,196.364,-3.2680000000000002,32.459
2020-01-01 06:15:00,50.22,215.918,-3.2680000000000002,32.459
2020-01-01 06:30:00,52.17,211.0,-3.2680000000000002,32.459
2020-01-01 06:45:00,54.2,206.111,-3.2680000000000002,32.459
2020-01-01 07:00:00,55.6,202.635,-3.2680000000000002,32.459
